country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","17-01-2025 18:00:00",12.9756843,77.5660749,CO,22,43,31
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","17-01-2025 18:00:00",13.029152,77.585901,NO2,43,75,66
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","17-01-2025 18:00:00",13.029152,77.585901,SO2,11,26,17
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","17-01-2025 18:00:00",12.938539,77.590100,PM10,80,115,94
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","17-01-2025 18:00:00",12.920984,77.584908,NH3,1,1,1
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","17-01-2025 18:00:00",12.920984,77.584908,CO,14,42,26
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","17-01-2025 18:00:00",22.969611,72.643500,SO2,16,32,27
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","17-01-2025 18:00:00",28.593883,76.270653,PM10,82,170,113
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","17-01-2025 18:00:00",28.593883,76.270653,NO2,15,24,18
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","17-01-2025 18:00:00",28.376058,77.315741,SO2,8,9,9
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","17-01-2025 18:00:00",28.4417,77.3217,PM2.5,90,190,141
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","17-01-2025 18:00:00",28.4417,77.3217,NO2,36,39,37
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","17-01-2025 18:00:00",28.4417,77.3217,NH3,11,11,11
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","17-01-2025 18:00:00",23.707909,86.414670,PM2.5,NA,NA,NA
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","17-01-2025 18:00:00",16.172806,75.659694,CO,8,36,21
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","17-01-2025 18:00:00",15.888653,74.541751,NH3,1,3,2
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","17-01-2025 18:00:00",15.888653,74.541751,OZONE,19,19,19
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","17-01-2025 18:00:00",12.9135218,77.5950804,PM2.5,32,58,44
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","17-01-2025 18:00:00",28.422681,77.148944,CO,53,107,63
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","17-01-2025 18:00:00",28.4227,77.0667,NO2,1,32,11
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","17-01-2025 18:00:00",28.4227,77.0667,SO2,1,44,2
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","17-01-2025 18:00:00",28.4275,77.1465,PM10,80,180,123
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","17-01-2025 18:00:00",28.4501238,77.0263051,PM10,65,239,126
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","17-01-2025 18:00:00",28.4501238,77.0263051,SO2,7,13,10
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","17-01-2025 18:00:00",23.016834,72.625775,CO,6,66,13
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","17-01-2025 18:00:00",23.041137,72.456691,PM10,38,127,92
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","17-01-2025 18:00:00",23.041137,72.456691,NH3,3,5,4
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","17-01-2025 18:00:00",23.041137,72.456691,SO2,1,2,1
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","17-01-2025 18:00:00",23.023389,72.515201,PM10,45,120,82
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","17-01-2025 18:00:00",23.076793,72.627874,OZONE,6,46,38
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","17-01-2025 18:00:00",30.7057778,76.8531805555555,PM2.5,86,345,184
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","17-01-2025 18:00:00",28.52123,76.37138,PM10,126,180,152
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","17-01-2025 18:00:00",28.52123,76.37138,NO2,33,40,37
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","17-01-2025 18:00:00",23.80569,86.44268,PM2.5,24,361,111
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","17-01-2025 18:00:00",23.221714,72.654328,CO,16,78,21
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","17-01-2025 18:00:00",22.410802,73.097923,NO2,5,21,11
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","17-01-2025 18:00:00",22.969611,72.643500,PM2.5,53,64,56
